Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-8.904037,-3.190274,1.434127,9.566422,81.378143,199.712357
0.0099676,-8.597578,-3.223793,1.462857,9.297911,80.947937,200.554291
0.0199587,-8.884883,-3.238158,1.487996,9.572927,81.057800,200.024628
0.0299772,-8.882488,-3.253720,1.487996,9.575982,81.060677,200.118149
0.0399621,-8.906430,-3.265691,1.522712,9.607699,80.880814,200.136307
0.0499507,-8.954314,-3.241749,1.538275,9.646500,80.824181,199.901886
0.0599502,-9.001001,-3.214216,1.537078,9.680487,80.863853,199.651413
0.0699555,-9.044097,-3.183091,1.553837,9.712990,80.794548,199.389633
0.0799726,-9.088389,-3.134010,1.575385,9.741800,80.693604,199.026077
0.0900086,-9.132683,-3.081338,1.608904,9.771852,80.523285,198.644226
0.0999548,-9.170990,-3.050213,1.642422,9.803490,80.355499,198.396790
0.1099759,-9.197326,-3.041833,1.607706,9.819789,80.577049,198.300613
0.1199528,-9.209297,-3.033453,1.557428,9.820314,80.874794,198.231384
0.1299748,-9.203311,-3.023877,1.537078,9.808536,80.984123,198.188660
0.1399827,-9.187749,-3.014300,1.534683,9.790607,80.981659,198.163528
0.1499672,-9.161413,-2.990358,1.527501,9.757406,80.993423,198.077087
0.1599642,-9.118318,-2.960430,1.517924,9.706285,81.002831,197.986984
0.1699632,-9.076419,-2.930503,1.497573,9.654634,81.076569,197.893707
0.1799733,-9.050082,-2.899378,1.467646,9.615840,81.220749,197.763916
0.1900782,-9.042900,-2.886210,1.441309,9.601126,81.366188,197.701447
0.1999532,-9.063251,-2.893393,1.412579,9.618192,81.554688,197.705399
0.2099812,-9.090784,-2.911349,1.398214,9.647451,81.666725,197.757812
0.2200294,-9.113529,-2.940080,1.410185,9.679313,81.622726,197.880020
0.2299888,-9.119514,-2.966416,1.434127,9.696488,81.494652,198.018784
0.2401395,-9.105149,-2.989161,1.468843,9.695170,81.285988,198.174667
0.2500975,-9.080010,-3.017891,1.510741,9.686929,81.027718,198.385071
0.2602031,-9.054871,-3.031059,1.541866,9.672402,80.827415,198.507629
0.2699788,-9.039309,-3.040636,1.556231,9.663148,80.732269,198.591873
0.2799912,-9.029732,-3.052607,1.559822,9.658546,80.706223,198.678436
0.2900042,-9.022549,-3.064578,1.547851,9.653697,80.773506,198.760452
0.2999758,-9.008183,-3.083732,1.534683,9.644274,80.843658,198.897385
0.3100067,-9.005790,-3.106477,1.525106,9.647819,80.904655,199.031479
0.3200217,-9.003395,-3.130419,1.501164,9.649567,81.050255,199.172211
0.3300475,-8.999804,-3.161543,1.489193,9.654509,81.126785,199.355881
0.3400109,-8.992621,-3.198653,1.486799,9.659669,81.145935,199.580353
0.3500069,-8.987833,-3.230975,1.490391,9.666520,81.130722,199.772659
0.3599797,-8.979453,-3.252523,1.497573,9.667068,81.088135,199.911316
0.3700474,-8.966286,-3.259706,1.503559,9.658191,81.043938,199.978806
0.3801089,-8.961497,-3.280056,1.517924,9.662882,80.962082,200.103455
0.3899934,-8.971074,-3.303998,1.543063,9.683885,80.831215,200.218475
0.3999926,-8.979453,-3.323152,1.567005,9.702032,80.705269,200.308701
0.4100455,-8.986636,-3.347094,1.590947,9.720791,80.580345,200.427963
0.4200047,-8.990228,-3.381810,1.606509,9.738670,80.504982,200.614548
0.4300219,-8.991425,-3.418920,1.613692,9.753908,80.477173,200.818924
0.4400744,-8.979453,-3.457227,1.616086,9.756779,80.465744,201.057465
0.4501025,-8.955511,-3.488352,1.623269,9.747040,80.413315,201.281921
0.4600926,-8.926781,-3.517082,1.613692,9.729403,80.452965,201.504059
0.4700428,-8.889671,-3.532645,1.596933,9.698249,80.522400,201.672256
0.4800264,-8.859743,-3.506308,1.607706,9.663020,80.422752,201.591553
0.4899867,-8.840590,-3.388993,1.558625,9.595343,80.651703,200.974060
0.4999906,-8.857349,-3.314772,1.527501,9.579855,80.825073,200.517853
0.5099995,-8.888474,-3.306392,1.628057,9.622253,80.258865,200.404526
0.5199721,-8.943541,-3.266888,1.707066,9.673342,79.835716,200.066193
0.5300112,-8.996213,-3.199851,1.740585,9.705695,79.668892,199.579895
0.5400282,-9.029732,-3.143587,1.731008,9.716717,79.738129,199.194916
0.5499928,-8.995016,-3.130419,1.711854,9.676791,79.810577,199.188766
0.5599995,-8.983045,-3.090914,1.732205,9.656571,79.666298,198.987473
0.5700342,-9.018958,-3.055001,1.799243,9.690816,79.300110,198.712830
0.5800298,-9.065644,-2.967613,1.933318,9.732951,78.542770,198.125717
0.5899691,-9.138668,-2.875436,2.098518,9.807506,77.644859,197.465927
0.5999770,-9.244013,-2.796427,2.341529,9.937531,76.371544,196.831207
0.6100746,-9.374496,-2.797625,2.683900,10.144517,74.658798,196.616638
0.6201506,-9.477448,-2.923320,2.886210,10.329473,73.774704,197.142380
0.6300012,-9.552865,-3.069367,2.851494,10.431168,74.135521,197.812378
0.6400538,-9.619903,-3.100491,2.639607,10.446200,75.363495,197.864120
0.6500072,-9.673772,-3.063381,2.549825,10.462685,75.894592,197.571365
0.6600260,-9.701305,-2.973598,2.534262,10.458494,75.976715,197.041107
0.6700428,-9.701305,-2.833538,2.536657,10.420119,75.910439,196.281921
0.6800549,-9.668983,-2.761712,2.564190,10.377445,75.694466,195.940704
0.6900086,-9.616311,-2.719813,2.668338,10.343638,75.050415,195.792664
0.6999677,-9.556456,-2.658761,2.718616,10.285218,74.673294,195.547424
0.7099579,-9.514558,-2.584541,2.734178,10.231441,74.500320,195.197159
0.7199633,-9.482236,-2.530671,2.732981,10.187555,74.438850,194.943115
0.7299772,-9.446322,-2.486378,2.742558,10.145773,74.316971,194.746429
0.7399710,-9.410410,-2.438494,2.754529,10.103935,74.179802,194.527374
0.7499841,-9.362526,-2.407370,2.732981,10.045970,74.213860,194.419983
0.7599640,-9.301474,-2.325967,2.756923,9.976380,73.957817,194.039719
0.7699692,-9.217676,-2.211045,2.758120,9.872259,73.776741,193.488693
0.7800002,-9.105149,-2.118869,2.754529,9.745808,73.582329,193.100204
0.7899566,-8.997410,-2.118869,2.748544,9.643519,73.440277,193.251572
0.7999792,-8.910022,-2.033874,2.748544,9.543565,73.261765,192.858490
0.8099752,-8.603564,-1.966837,2.762909,9.247888,72.616798,192.876953
0.8199882,-8.856153,-1.908179,2.795230,9.480817,72.852646,192.159271
0.8300296,-8.834604,-1.857901,2.795230,9.450680,72.796265,191.876144
0.8400562,-8.826224,-1.818396,2.825158,9.444063,72.593651,191.641312
